Acrochordus javanicus
Ameca splendens
Amphilophus citrinellus
Apocyclops dengizicus
Archocentrus nigrofasciatus
Argulus japonicus
Asellus hilgendorfii
Astronotus ocellatus
Barbonymus schwanenfeldii
Belonesox belizanus
Biomphalaria glabrata
Bithynia tentaculata
Blackfordia virginica
Bombina orientalis
Bosmina coregoni
Bryocyclops muscicola
Bufo bufo
Bythotrephes longimanus
Caiman crocodilus
Carassius auratus
Cercopagis pengoi
Channa argus
Channa maculata
Channa marulius
Chitala ornata
Cichla ocellaris
Cichla temensis
Cichlasoma bimaculatum
Cichlasoma salvini
Cichlasoma urophthalmus
Cipangopaludina chinensis
Cipangopaludina chinensis malleata
Cipangopaludina japonica
Clarias batrachus
Colossoma macropomum
Corbicula fluminea
Cordylophora caspia
Corydoras aeneus
Craspedacusta sowerbyi
Ctenopharyngodon idella
Cynops orientalis
Cynops pyrrhogaster
Cyprinus carpio
Danio rerio
Daphnia galeata galeata
Daphnia lumholtzi
Dendrobates leucomelas
Dreissena polymorpha
Dreissena rostriformis bugensis
Echinogammarus ischnus
Eleutherodactylus coqui
Eleutherodactylus planirostris
Eleutherodactylus portoricensis
Eriocheir sinensis
Esox reichertii
Eubosmina maritima
Eunectes notaeus
Exopalaemon modestus
Farlowella vittata
Glyptoperichthys gibbiceps
Gymnocephalus cernua
Harpacticella paradoxa
Hemichromis letourneuxi
Hemimysis anomala
Heros severus
Hoplosternum littorale
Hydrochoerus hydrochaeris
Hypomesus nipponensis
Hypophthalmichthys molitrix
Hypophthalmichthys nobilis
Hypostomus plecostomus
Kaloula pulchra
Lates angustifrons
Lates mariae
Lates niloticus
Leiarius marmoratus
Leporinus fasciatus
Lernaea cyprinacea
Leuciscus idus
Limnoithona sinensis
Limnoithona tetraspina
Litoria caerulea
Lophopodella carteri
Macrobrachium rosenbergii
Macrognathus siamensis
Marisa cornuarietis
Megacyclops viridis
Melanochromis auratus
Melanochromis johannii
Melanoides tuberculata
Melanoides turriculus
Mesocyclops pehpeiensis
Metynnis sp.
Misgurnus anguillicaudatus
Misgurnus mizolepis
Monopterus albus
Mylopharyngodon piceus
Myocastor coypus
Neoergasilus japonicus
Neogobius melanostomus
Nitokra hibernica
Nitokra incerta
Oreochromis aureus
Oreochromis mossambicus
Oreochromis niloticus
Oreochromis urolepis
Oreochromis urolepis hornorum
Osphronemus goramy
Osteopilus septentrionalis
Parachromis managuensis
Paracorophium lucasi
Petenia splendida
Phractocephalus hemioliopterus
Physella acuta
Pisidium amnicum
Pisidium henslowanum
Pisidium supinum
Platychirograpsus spectabilis
Platydoras costatus
Plecoglossus altivelis
Poecilia mexicana
Poecilia reticulata
Poecilia sphenops
Poeciliopsis gracilis
Pomacea bridgesi
Pomacea canaliculata
Pomacea diffusa
Pomacea haustrum
Pomacea maculata
Potamopyrgus antipodarum
Potimirim potimirim
Proterorhinus semilunaris
Pseudodiaptomus forbesi
Pterygoplichthys anisitsi
Pterygoplichthys disjunctivus
Pterygoplichthys multiradiatus
Pterygoplichthys pardalis
Pygocentrus nattereri
Radix auricularia
Rhinogobius brunneus
Rhodeus sericeus
Ripistes parasita
Rivulus hartii
Rocio octofasciata
Salmo letnica
Salmo trutta
Salvelinus alpinus
Sander lucioperca
Sarotherodon melanotheron
Scardinius erythrophthalmus
Schizopera borutzkyi
Sinanodonta woodiana
Sinocalanus doerri
Sphaerium corneum
Stenophysa marmorata
Stenophysa maugeriae
Tanichthys albonubes
Tarebia granifera
Thermocyclops crassus
Thorichthys meeki
Tilapia buttikoferi
Tilapia mariae
Tilapia rendalli
Tilapia zillii
Tinca tinca
Trichogaster trichopterus
Trichopsis vittata
Tridentiger bifasciatus
Valvata piscinalis
Viviparus viviparus
Xenentodon cancila
Xenopus laevis
Xiphophorus hellerii
Xiphophorus maculatus
Xiphophorus variatus
Xiphophorus xiphidium
